,ID,Category,Question,Answer,Source
,36,Houses,Any agreed upon formula for the house deficit allowance yet ?,"Per vision document, ""The maximum deficit that a house can run (e.g., the greater of $500 or 2% of the last three months' weighted average house budget)."" The board has not voted on anymore specific. We are collected ideas - please send them in.",Housemaster Q&A Q4
,37,,"If an employee's 'total cost balance' is higher than their 'actual cash cost to bld balance' is it possible to receive that difference as monetary compensation? If so, what is the proper way to receive that?","Per vision document, ""The minimum percentage equity is 10% of total compensation, but employees can use Flow to set a greater percentage of their compensation to be paid as equity."" We will retroactively go back to Jan 1st 2020 and pay the difference as equity. We will retroactively go back to Jan 1st 2022 and let you pick cash (or expense for pre-tax spend you need) or equity. ",Housemaster Q&A Q5
,38,,"As per the above question: ""We will retroactively go back to Jan 1st 2022 and let you pick cash (or expense for pre-tax spend you need) or equity. "" It sounds like we will have the option to receive the difference as cash or equity. When will employees have the option to select between this compensation being cash or equity and when will that be paid out? And what would be the proper procedure for doing that?",,Housemaster Q&A Q6
,39,Admin,Will we need to sign new contracts? (Post compensation engine),"We are going to establish employers of record in every country, so yes.",2022 03 19 Muqattam Q5
,40,Guild,Is there any need for the salary re-evaluation that was initialy agreed on after applying the engine? (I assume there is no need),"Evaluations (per your guild) will continue to occur, but more systematically and frequently. But your salary will be determined by the house you join.",2022 03 19 Muqattam Q6
,41,Houses,Will there be special working hours for ramadan?,"Yes, we want to follow local legal and customs.",2022 03 19 Muqattam Q7
,42,Houses,Do we take national holidays off?,"Yes, we want to follow local legal and customs.",2022 03 19 Muqattam Q8
,43,Admin,When and how salary is delivered?,"As soon as possible after the end of the month. The challenge is that work logs can affect the budget of each house, and work logs historically have not been accurate on the 1st of the month. Target date would be the 10th of every month.",2022 03 19 Muqattam Q9
,44,,"In reference to this question - salaried persons are currently paid before the end of the month. What will the transition look like from someone who is paid monthly at a predictable time (currently on salary/fixed comp) to someone who is paid based on variable comp, which may not be on a predictable day? This is important because people's bills are due at the beginning of the month, etc. Would this end up being essentially two pay cycles for the transition month? (the standard pay schedule, and then a second payroll with the variable-comp persons for any remaining amount not paid on the salary amount)","In the US and Canada, we have to comply with laws for salaried, full time employees. In the US, we have been paying current (paid on the 28th for work period of the current month, 1st to the end of the month). Because of the parameters of comp engine, we will transition to within the 10th of the following month (work period 1st to the end of the previous month), dependent on each state's laws. When we move to paying for the previous month, this will be on a fixed date and we will have to do a transition payroll as needed to allow for people to plan. Because different states have different laws, this is not as easy to do so I'm waiting for the process (worklogs download, etc.) to be more predictable and stable. In any case, I will let you know in advance before doing this. ",2022 03 19 Muqattam Q10
,45,flow.bld.ai / earn,When will we be able to access a new version of the comp engine sheet to review the formulas + our current individual standing?,"We cannot widely release the engine because the work logs may contain client confidential information. However, we can release an engine with fictitious information. On the other hand, we can release enough information that you should be able to cross validate. The team in charge of implementing Flow just got started and will be releasing pieces of the engine every week starting early April.",2022 03 19 Muqattam Q11
,46,Existing employees,how to get a raise and get higher in level? and can we have more visibility on our perfomance and how to get to the next level,"Raise is handled by the house you belong to, which could be a house of one. Level depends on the tribe(s) you belong to. ",2022 03 03 Q&A Q1
,47,Houses,Can we expect a different salary in March after rolling out the engine?,"Depends on your housemaster. If you are a house of one, then that depends on you.",2023 03 03 Q&A Q2
,48,Houses,when to expect the brex ,As soon as housemaster gives us this information. The Brex script is ready.,2025 03 03 Q&A Q4
,49,Houses,do I have to be in a house,Yes.,2026 03 03 Q&A Q5
,50,Houses,when to expect the houses to rollout,Before the end of March. @janis is faciliating the process.,2027 03 03 Q&A Q6
,51,Houses,how does being a solo house member affect my rate and compensation?,"As a house of one, you are the house master. Your rate and your compensation is at your discretion. ",2028 03 03 Q&A Q7
,52,New employees,Would it be the standard to receive the salary after the first week of the month after the engine working?,"Yes. Our objective is to pay as soon as possible. If the work logs were perfect, we would pay salaries on the 1st. Realistically, it will probably take until the 10th until flow.bld.ai is built and tested.",2029 03 03 Q&A Q8
,53,Houses,who will be responsible for performance monitoring and coaching? tribe leader or mentor?,The tribe sets your level.,2030 03 03 Q&A Q9
,54,Houses,what is the responsibility of a housemaster ?,"Recruit, train, assign, pay, and ensure wellbeing of house members.",2031 03 03 Q&A Q11
,55,Houses,what are some disadvantages of a house of one person?,"Mainly not getting the benefits of being in a larger house (training, stability and resource pooling)",2031 03 03 Q&A Q12
,56,Houses,what will happen to the mentor signup from before?,This feature is going away. ,2031 03 03 Q&A Q13
,57,Guilds,is being part of a guild required?,No.,2031 03 03 Q&A Q14
,58,Equity,Equity compensation is tax inefficient for independent contractors of non-US countries. What is bld.ai's plan to support contractors receiving equity?  ,Equity compensastion is not tax inefficient as far as we are aware.,2031 03 03 Q&A Q15
,59,Houses,Where can we access the House survey (I can only see the old survey for sourcing House ideas in my inbox),Survey link.,2031 03 03 Q&A Q16
,60,Houses,Can a house opt out of resource/compensation pooling or does that effectively just make it a guild?,The housemaster can decide passthrough the contributions of the members. A guild does not have a budget.,2031 03 03 Q&A Q17
,61,Houses,"If I am a house of one, do i get the full 70%? If not, how many members does a house have to have?","Houses collectively have 70% of the budget of bld.ai. Individual houses will get 50% of their housemember's work, plus 10% of their members recruiting contributions globally, plus 10% of their members selling contributions globally.  A house must have at least 1 member.",2031 03 03 Q&A Q18
,62,Houses,can we expect February salary as a house of one for each one or we should wait for next month ?,The compensation is retroactive since Jan 2020. Equity will be paid until Dec 2021. Jan 2022 is TBD. Feb 2022 will use this new engine (V9.0).,2031 03 03 Q&A Q19
,63,Houses,Will houses of one have bld.ai listed as their direct employer?,"Houses are departments of bld.ai, they are not tax paying corporations. If ""listed"" refers to LinkedIn, then yes we expect that everyone with a bld.ai email will list bld.ai on their LinkedIn. If ""listed"" refers to employer of record for tax purposes, then it depends on the country in which you reside. But for every country, bld.ai will select one and only one employer of record. ",2031 03 03 Q&A Q20
,64,Houses,Will being in a house affect what projects I get assigned to?,"Potentially. Your housemaster has discretion on this. However, you may leave your house if you are in good standing. ",2031 03 03 Q&A Q21
,65,Delete,What is the main reason behind killing mentoring? Houses? ,Too complicated (for now) and we wanted to ship something quickly.,2031 03 03 Q&A Q22
,66,flow.bld.ai / earn,is 10% rsu cut from my 50% or the total 100%?,Equity compensation is ≥10% of total compensation (which is determined by the housemaster of your house). ,2031 03 03 Q&A Q23
,67,Houses,will the people who are in the same house be equal in their salaries ?,No. It is up to the housemaster(s) of the house you belong to.,2031 03 03 Q&A Q24
,68,Houses,are people in the same house will be the same for salaries? ,No. It is up to the housemaster(s) of the house you belong to.,2031 03 03 Q&A Q25
,69,Houses,How are local holidays managed?,We respect local laws. Housemasters can add more on top at their discretion.,2031 03 03 Q&A Q26
,70,Houses,"What is the process to request an increase or decrease (i.e., increment) in my Brex account limit as a member of a large house?","As a member of a large house, you must inform your housemaster of the amount you wish to increment your Brex account limit by. For example, if your current account limit is $50USD and you wish to have a limit of $150USD you must request your housemaster to increment your Brex account by $100 USD. ",bld.ai FAQ
,71,Existing employees,For what reasons can someone get let go from bld.ai?,"We will fire people for reasons like racism, sexism, fraud, bullying, cybersecurity breaches, etc. We do not ""fire"" workers for poor performance. The guilds handle levels and the houses handle market forces to ensure hourly rates and budget are efficiently in line with supply and demand. Housemasters can remove individuals from their houses.",bld.ai FAQ
,72,Work logs,What increments do we bill at?,"The engine works on floating point numbers, so you can go as small as you deem practical. ",bld.ai FAQ
,73,Existing employees,What is the financial impact to a houseofone or a houseofmany if a client does not pay their invoice? ,"Houses will receive budget associated with the work logs, recruiting, and selling that they their members as long as the work log falls within the bld.ai knowledge work standards as defined by the guilds. To date, we have seen some isolated instances of workers who charged excessive work logs and those work logs have not been billed to the client nor have the houses received budget for this. If a client is late on payment, we stop the work automatically and the XCo has to vote to approve exceptions. ",bld.ai FAQ
,74,Projects,How do I leave my project?,"To leave a project for any reason, you must get the approval of both the PM and the Client (via the PM) to allow the team to find a replacement and perform the transition if necessary. You may be required by the PM to turnover your work to your replacement before approving your request. If either PM or Client denies the request, you may escalate the matter to your housemaster. Should the PM and Housemaster be unable to settle the request, it must be escalated to the XCo.",bld.ai FAQ
,75,Houses,Can I be a house-of-one at my level?,You must be at least a level 3 in any guild to become a house of one.,bld.ai FAQ
,76,Houses / Recruitment,Can I recruit a new candidate at bld.ia to be a house-of-one?,That recruit must be coming in at level 3 or higher in any guild to qualify to be a house of one.,bld.ai FAQ
,77,Houses / Recruitment,What does it mean that housemasters do not have direct control over workers in their house?,"Houses determine the gross total compensation and the expense account contributions of their workers. Workers can choose the exact percentage they wish to receive as vesting equity. 

On a given month, a worker may charge a client $8,000 USD, which would give their house $4,000.  In addition, the worker may have contributed to a proposal and recruiting, earning an extra $1,600 that month. Total house contribution by this worker: $6,600. 

The housemaster may have set the gross total compensation cost and the expense contribution of this worker to be $5,200 and $300 (office, travel, and cellphone plan) respectively. Total cost to the house  of that worker: $5,500 (leaving $1,100 for rainy days or other house expenses like training).

The worker may have decided to take 20% of this $5,200 as vesting equity, which would be 104 units (assuming $10/unit). In addition, the worker may have health insurance converate (e.g., $100), tax deductions (e.g., $320), bank fees (e.g., $40) and foreign exchange (assuming final amount is not in USD). Net, the worker may see in their bank account 5,200*(1-0.2)-(100+320+40) = $3,700.

If this hypothetical scenario happens after IPO, then the worker may also opt to sell 200 vested shares (that they would have previously accumulated at a cost of $2, or $400 in the past), adding an additional $2,000 compensation (less applicable capital gains taxes).",2022 06 16 all hands asia
,78,General,What is the bld.ai engine?,"The compensation engine is at the core of bld.ai innovation. Per vision document, it handles the following:
Maintains the canonical source of truth for all past and present workers and their associated
1. House 
2. Guild (level)
3. Recruits
4. Sales
5. Expense
6. Compensation (plan and actual)
7. Units of equity
8. Work logs
9. Skills
10. Clients and projects

The engine mainly processes 6 main inputs, discussed concisely below.",
,79,General,What are work logs?,"Work logs are the largest (in terms of quantity) input to the engine, they are inputted by the individual workers for the work they do for different clients. Each individual work log contains the following information:
The project this worklogs is billed against.
The worker who accomplished the task.
A description of the task accomplished.
The date of that work log.
How many hours were spent on the task.
The hourly rate of the worker in the project.

Worklogs are heavily audited, they are checked by the PM of the project, the QA team and then once again once we bill the client.
",
,80,General,What is the recruiter flow?,"This is where we keep data about the workers that bld.ai has as well as data about who were involved in the recruitment process for each worker.
For each worker, we store the following information:
Worker’s email address.
The hire date of the worker.
The house that recruited the worker.
Emails of the sourcers of the worker.
Emails of the interviewers of the worker.
Emails of the closers with the worker.
This is used later to calculate the commission of the recruiters.",
,81,General,What is the seller flow?,"This is where we keep data about the projects that bld.ai are currently involved in, this includes the different workers involved in closing the deal with the client.
For each project, we store the following information:
Project name.
Project’s start date
Emails of the project sourcers.
Emails of the project proposal writers.
Emails of the project closers.
This is used later to calculate the commission of the sellers.",
,82,General,What is the house in flow?,"House inflow is an input entered by the house masters for each of their respective house members to determine the compensation the worker should receive. 
The house master defines the following for each worker for each period (month):
The worker’s email.
The gross compensation of the worker.
How much of that compensation should go as cash to the worker.
How much should be added to the worker’s expenses credit card.
",
,83,General,What are the engine parameters?,"Engine parameters are responsible for determining how the revenue from each individual worklog is distributed.
As of 16th Jul 2022, the parameters are:

Worker, 50% =>  Percentage that the worker’s house gets from the worklog they submit.
Recruiter, 10% => Commission for the recruiters of the worker who submitted the worklog. The recruiter’s house gets this.
Seller, 10% => Commission for the sellers of the project that the worker submitted the worklogs for. The seller’s house gets this.
Overhead, 10% => This goes to cover the internal functions of the company (accounting, legal, etc…) as well as building software to be used by the company itself (ex. Flow)
Margin profit, 20% => Profit for the stakeholders of the company

",
,84,General,What are the actuals?,"Actuals are the gross cash numbers sent to each worker after the different components like taxes and benefits have been added. This is then used to calculate how much the worker was really paid in each period, which then determines how much equity the worker will get in bld.ai.
Actuals come from different sources by nature, since bld.ai is a global company, multiple payment methods are used depending on the country of the worker. These numbers are then aggregated in place to be uniform and easily referenceable. 
",
